date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,dailyCases,newDeaths28DaysByDeathDate,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate,dailyThirdInjectionByVaccinationDate
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20805067276338968,0.0,0.0,0.0,0.0,0.0,0.0,0.20805067276338968,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.00032176859159994704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032176859159994704,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876838843748683,0.029759636153655254,0.0,0.0,0.41610134552677935,0.025369056631941306,0.0,0.0,0.0,0.0,0.0,0.0,1.348068882061059,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20868137332616865,0.0,0.0,0.0,0.0006008691642329137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20928224249040156,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003305629013978089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033056290139780884,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0006117008966664944,0.0005117287157534282,0.0010611448892967764,0.00032176859159994704,0.0,0.0,0.0006791778802788184,0.0,0.0,0.0,0.9816015301913913,0.08826550436258962,0.0,0.0,0.0,0.0,0.0,0.0,1.0730525555275765,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20805067276338968,0.0,0.0,0.0,0.09293561212760744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009862848909971,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.00032176859159994704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019105035238176107,0.0,0.00028374831524437824,0.0,0.0,0.0,0.0,0.0,0.0007965672592260863,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0006026167319925106,0.0,0.0,0.0008594572847000113,0.0,0.0,0.0,0.056367459440057985,0.0002701326162664674,0.0006545086722399073,0.0,0.0,0.0,0.0,0.0,0.0,0.058754174745256876,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0003862278096203877,0.0008332827902821422,0.0,0.0,0.0,0.00026332065859479604,0.0005341782291902993,0.0,0.0,0.20805067276338968,0.00019735037715643537,0.0,0.0,0.0006008691642329137,0.0,0.0,0.0,0.21086590179246664,0.0,0.0,0.0,0.0
