date,covidOccupiedBeds,covidOccupiedMVBeds,estimatedNewAdmissions,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,dailyCases,dailyFirstDoseByVaccinationDate,dailySecondDoseByVaccinationDate
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591616185472906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025916161854729062,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.997248946362451e-05,0.0,0.0,0.5008188357415503,0.0,0.0,0.0,0.0,0.0,0.500898808231014,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.582709620381812e-05,0.0,3.88081476484938e-05,0.0,8.427578537989109e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031782205846440605,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.893853976857852e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.893853976857852e-05,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.997248946362451e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.997248946362451e-05,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.006678321678321678,0.0,0.0,0.0,0.0,0.004199277543648405,0.0,0.0,0.0,4.6214011060420905e-05,0.0,3.37584784032036e-05,0.0,0.0,0.0,0.0,0.0,0.011037544200897332,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183232370945812,0.0,0.0,0.004199277543648405,0.0,0.0,0.0,0.0,0.05603160125310653,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.871671534100668e-05,0.0,0.0,0.0,0.007046176701192588,0.0,0.0,0.004199277543648405,0.0,0.0,0.0,0.0,0.0,0.011314170960182,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.004199277543648405,0.0,0.0,0.0,0.0,0.32706295779028616,0.0,0.0,0.0,0.0,7.997248946362451e-05,0.0,0.006678321678321678,0.0,0.1737558779512641,0.0,0.0,1.0125952431945344,0.0,0.0
